Author_ID,Book_ISSN,Place_of_Publication,Year_of_Publication,TotalSales
2554,59-827-9248,NY,Buist, 5329.37
464,60-434-1593,london,Lambkin, 5456.84
55,82-333-6796,Paris,Mathivet, 2371.72
6963,85-776-7990,London,Yakushkev, 3704.17
46213,46-196-1237,london,Askew, 6095.80
63468,12-131-7625,Tokyo,Dincey, 8216.15
55,04-320-0265,London,Cratere, 4619.06
464,84-348-1071,Tokyo,Luppitt, 3853.42
35465,25-891-2208,Paris,Jirusek, 6093.22
3566,82-820-2844,Paris,Levicount, 1557.36
63468,13-059-8185,Tokyo,Salters, 967.59
1235,26-479-2206,toKyo,Champley, 2046.15
255,62-772-8682,NY,Laurie, 2373.49
253,08-870-9919,Tokyo,Itzcovich, 1334.18
3566,60-725-3678,NY,Pechold, 7768.33
1235,93-333-2649,Paris,Caine, 7311.75
3566,90-862-1075,Tokyo,Dorran, 4778.78
253,34-149-2615,NY,Andersson, 3657.41
6963,67-662-0176,Tokyo,Di Francesco, 4184.47
2554,62-175-2048,Tokyo,Iuorio, 4339.08
513,55-653-0025,london,Craiker, 5881.24
3566,50-936-4743,london,Dilliway, 7479.74
2554,28-336-9434,New York,O'Mullally, 8068.82
1235,77-602-0700,london,Coker, 1733.23
46213,05-681-8372,NY,Pietersen, 4355.73
464,97-722-1492,London,Iacovuzzi, 8365.68
464,60-006-2193,New York,Arne, 4157.77
3542,40-358-9162,New York,Mazzey, 9867.41
63468,00-893-5314,New York,Humphrys, 6131.05
3542,96-935-2112,toKyo,Bramont, 5367.02
3542,90-509-8838,NY,Rasch, 5984.68
3542,80-114-4915,toKyo,Gendrich, 6534.77
3546,04-777-3845,NY,Lumb, 7589.13
55,56-010-8758,NY,Jeans, 1772.72
963,94-330-2850,toKyo,Warlowe,
255,04-714-6654,London,Boatwright, 7546.96
1235,72-611-5960,Paris,Clissell, 4446.82
3546,77-061-3369,toKyo,Conkay, 1684.88
2554,09-622-2731,,Ulyatt, 5167.19
68545,55-089-8238,london,Rowberry, 4945.07
3641,70-246-2330,Paris,Whilder, 2962.58
2554,06-395-5961,Paris,Donnell, 2791.37
458,98-508-2409,Paris,Ellum, 8162.89
35465,03-023-8108,toKyo,Gaffey, 8501.77
513,37-078-2368,London,Kloster, 5892.49
55,19-577-0103,Paris,Boultwood, 5277.27
3546,56-892-1351,Tokyo,Ambroisin, 4156.33
63468,46-922-8189,Paris,Pennycuick, 4681.18
68545,54-282-3253,Paris,Yukhnini, 4796.00
963,18-022-0997,Paris,Duplan, 7060.83
3641,67-055-7345,london,Joreau, 5865.28
6963,60-385-6230,london,Westfalen, 4558.26
253,78-722-1298,NY,Roderigo, 9147.99
35465,85-045-9121,Tokyo,Vardon, 7800.91
46213,68-579-0761,london,Vanns, 4246.49
1336,08-567-8160,NY,Westgarth, 4703.64
253,86-879-0016,Tokyo,Kyndred, 6276.46
2554,29-069-9707,New York,Olyfat, 4687.42
464,12-501-2615,toKyo,Noblett, 950.80
55,57-785-5216,Tokyo,Fishly, 845.55
963,81-259-5601,NY,Paulack, 9335.41
1235,68-029-7733,Tokyo,Gillio, 7676.67
3566,30-442-8047,london,McClintock, 9953.90
3546,44-733-1278,Paris,Glaserman, 1867.50
2554,39-576-9227,NY,Jeakins, 8663.27
255,38-425-9184,Tokyo,Dominy, 1769.38
1336,36-220-4465,New York,Shilstone, 7046.30
6963,98-564-6988,toKyo,Catenot, 983.27
35465,16-113-4077,NY,Schanke, 8335.43
464,97-064-1535,London,Musselwhite, 9167.02
2554,77-008-4978,Paris,Kirvin, 791.48
1336,28-621-4389,toKyo,Bassam,
68545,55-164-9388,New York,Barends, 6410.99
55,02-692-5711,toKyo,Oxteby, 6501.94
1336,11-684-1383,New York,Tremayle, 9314.88
458,76-304-9789,NY,Lakin, 8069.83
963,67-084-7599,London,Roullier, 1369.86
3546,34-959-1454,Paris,Caltera, 2187.61
255,96-196-0586,London,MacGlory, 6234.84
3566,88-861-4108,NY,Simonutti, 6429.55
35465,48-081-7857,london,Burkinshaw,
1235,05-064-3527,toKyo,Franchioni, 7812.84
513,02-592-6625,toKyo,Klamp, 7263.20
1235,23-465-4208,Tokyo,Mazzilli, 1234.17
1336,78-154-2700,toKyo,Blundel, 1887.30
1235,92-758-6699,London,Sirr, 1892.23
55,07-472-2653,London,Southcombe, 5373.11
46213,22-273-4374,Tokyo,Sahlstrom, 1813.84
458,68-373-0012,New York,Menel, 4561.51
963,80-688-7570,Tokyo,Rothert, 3957.44
1336,09-707-5663,NY,Stern, 7299.06
46213,74-119-9876,Paris,Ebdon, 9465.80
6963,44-960-4699,NY,Gillon, 1395.67
68545,21-263-5159,NY,Gimson, 3598.01
3542,38-711-6590,Paris,MacCook,
63468,96-841-6556,Tokyo,Wyness, 4850.74
63468,98-459-1833,New York,Garraway, 944.76
1336,30-699-1798,Paris,Chastagnier, 2994.83
63468,83-604-5329,toKyo,Portal,
513,80-074-9964,Tokyo,Burkhill, 7626.20
55,99-933-8284,London,Fluck, 5808.24
35465,31-236-8323,NY,Lent, 1508.73
513,62-701-4642,NY,Cranstone, 8967.53
3546,66-713-2246,Paris,Ashworth, 7625.09
513,26-815-7649,NY,Rippen, 1656.98
253,46-971-0241,london,Stegers, 7514.37
3542,70-454-0752,New York,Ilyenko, 5609.55
513,41-630-0762,NY,Umfrey, 6928.27
3546,85-404-0882,New York,MacGorman, 1312.20
963,69-730-1824,New York,Prosch, 2057.00
3542,81-919-9230,New York,Hendrickx, 3043.55
255,43-861-7070,NY,Ferreo, 7361.66
458,82-968-5953,Tokyo,Geertsen, 3322.76
55,20-820-6664,london,Brooking, 5515.61
253,24-385-1494,london,Tarling, 1073.68
255,29-470-7183,Paris,Gravell, 7893.63
513,87-528-1675,London,Ferenc, 1269.32
3566,99-370-7858,NY,De Ferraris, 5482.94
55,51-945-2234,New York,Warlowe, 6126.21
46213,32-029-1745,Tokyo,Reace, 9959.51
3641,34-626-0640,London,Snashall, 6472.45
6963,05-021-3646,Tokyo,Pett, 1073.37
2554,56-319-1701,toKyo,Stainfield, 8586.75
2554,93-321-7411,london,Garside, 6849.33
458,10-358-9650,Paris,Helliker, 6370.35
3546,41-394-6798,london,Sandbach, 1858.07
3566,80-865-4432,New York,Klimochkin, 8727.16
458,16-021-2404,toKyo,Harridge, 762.94
3546,18-694-3948,London,Joderli, 1704.01
46213,07-875-5747,Paris,Seivwright, 3858.94
3641,24-627-0262,,Roger, 9632.09
458,46-134-3273,london,Thalmann,
3641,85-386-2333,london,Antonoyev, 5196.63
