Company,Country,Department-1,Department-2,Department-3,Department-4,Salary,Currency
265284365-6,,0,2,,2,1068.28,$
160388085-2,jod,1,1,2,0,1387.90,JOD
769098998-5,Egypt,2,0,2,1,1014.20,JOD
928987452-X,Egypt,0,1,1,2,1314.65,usd
981081510-7,Kuwait,2,0,0,1,1259.97,$
593861431-7,JOD,2,2,2,0,1200.22,JOD
024972733-1,jod,2,2,2,2,1107.84,Euro
165476285-7,JOD,1,2,1,1,1202.94,JOD
917849070-7,,2,2,,0,1483.64,$
851831736-3,egypt,1,2,2,0,1061.37,usd
840453968-5,Kuwait,2,2,2,2,686.35,JOD
550870442-6,Egypt,0,1,1,1,1102.79,JOD
637113208-3,Jordan,1,0,0,1,847.84,euro
836104681-X,jod,2,2,2,2,1298.82,$
210416949-6,Egypt,1,1,0,2,1007.17,usd
994417099-2,egypt,1,2,1,0,1342.26,JOD
158992293-X,Jordan,0,2,1,2,995.53,euro
424620196-0,jod,0,0,1,0,668.32,USD
881587122-5,Egypt,0,0,0,0,1425.66,Euro
603854907-2,Egypt,0,0,1,1,1316.05,Euro
885791365-1,JOD,0,2,2,2,1197.82,JOD
667350811-6,Jordan,0,1,2,2,807.45,Euro
195106449-6,Kuwait,2,0,1,0,1416.94,Euro
587466872-1,Egypt,0,1,0,0,718.87,USD
290960480-2,egypt,0,2,0,2,836.56,usd
632776101-1,egypt,0,0,0,1,1213.63,usd
010027095-6,Egypt,2,0,0,2,1084.12,USD
556338403-9,Egypt,1,0,0,1,1353.95,usd
595020141-8,jod,2,2,0,1,1196.87,USD
736500493-2,JOD,1,2,0,1,1389.96,JOD
486517642-X,egypt,2,2,0,1,1219.55,JOD
637574282-X,Egypt,1,2,1,0,781.97,euro
091589400-9,Kuwait,0,2,1,2,969.98,euro
326654748-9,jod,2,1,1,0,1241.39,JOD
637973198-9,Kuwait,1,1,1,2,1086.10,usd
973968621-4,Egypt,2,1,2,2,857.95,usd
368065031-0,JOD,0,0,1,0,1282.38,JOD
166965469-9,egypt,2,0,1,2,921.79,JOD
262087310-X,Egypt,1,0,0,1,732.41,USD
165414573-4,jod,2,1,0,1,1297.48,USD
269739411-7,Jordan,0,0,2,1,1452.82,usd
292432283-9,Kuwait,2,0,1,1,626.69,$
770394198-0,jod,1,1,0,2,1075.97,usd
612708957-3,Egypt,0,2,0,1,1335.68,JOD
935305349-8,JOD,2,2,0,1,1043.26,euro
214588611-7,Kuwait,0,2,1,1,920.88,euro
043508848-3,jod,2,0,0,0,811.61,JOD
085584081-1,Jordan,1,2,2,2,776.76,JOD
798381598-0,Kuwait,2,2,2,1,839.38,euro
443307721-6,jod,1,0,1,0,1178.51,$
378187536-9,Egypt,2,1,2,0,931.46,euro
369506695-4,jod,0,2,1,2,1215.68,usd
717960260-4,JOD,0,2,1,1,1302.34,Euro
544403344-5,egypt,1,1,1,1,1378.59,euro
343346324-7,,2,0,,1,818.91,USD
914413367-7,Jordan,1,1,1,1,1154.91,euro
823457742-5,Kuwait,0,1,0,0,1395.35,usd
187471344-8,,1,2,,1,1398.92,Euro
134450713-1,jod,2,2,1,1,1200.56,euro
477649409-4,jod,0,2,1,0,1318.04,Euro
938446057-5,Egypt,0,0,1,0,1024.58,usd
343135790-3,Jordan,0,2,1,0,1295.79,euro
541261987-8,Kuwait,2,1,0,2,1224.80,$
022055845-0,Egypt,1,0,2,1,1169.93,USD
437625950-0,egypt,2,0,2,0,638.79,$
308305283-9,egypt,1,1,1,1,1165.99,USD
212490565-1,Jordan,0,0,2,0,1317.21,JOD
580873233-6,JOD,2,0,2,1,1303.68,$
393046673-2,jod,0,2,1,2,1291.25,JOD
869440923-2,Egypt,2,2,2,0,1403.59,usd
423363362-X,egypt,1,2,2,2,1418.76,usd
711681058-7,JOD,0,1,0,1,1341.96,euro
276396019-7,Jordan,1,2,1,2,877.56,$
780457134-8,Egypt,2,1,1,1,1479.90,USD
925756382-0,egypt,0,1,1,0,1419.78,$
220784595-8,egypt,1,1,0,0,1490.25,Euro
336083155-1,Jordan,0,2,0,0,1422.64,JOD
928184076-6,Egypt,0,2,1,1,1248.36,usd
746535854-X,egypt,2,0,1,1,1373.83,USD
432766213-5,JOD,2,2,0,1,765.58,usd
412845700-0,JOD,1,2,1,0,907.64,$
290550088-3,egypt,2,0,0,2,1100.54,USD
992272713-7,Kuwait,2,2,0,1,698.31,Euro
942334288-4,egypt,2,1,2,0,960.85,usd
279045528-7,jod,1,1,2,0,1058.86,euro
334775272-4,Jordan,2,1,0,1,733.05,JOD
989032683-3,JOD,0,2,0,0,1475.82,$
620767310-7,Egypt,0,1,0,2,983.01,$
555872406-4,jod,1,1,0,1,1176.96,euro
002830825-5,JOD,0,2,1,0,1459.97,USD
575117123-3,JOD,0,0,2,1,1255.65,Euro
074657545-9,Kuwait,1,2,0,2,1106.60,Euro
041649647-4,Kuwait,2,1,0,2,1388.12,$
060152795-X,Egypt,1,2,1,0,778.73,USD
641945756-4,jod,2,2,1,0,1028.15,JOD
805521087-X,Egypt,2,0,0,2,1353.37,$
544101888-7,egypt,0,0,2,0,1004.95,JOD
382816923-6,Jordan,1,2,2,2,946.44,usd
726002580-8,JOD,0,1,2,2,787.66,usd
864440662-0,Kuwait,2,2,2,0,1272.36,JOD
151273805-0,JOD,1,2,1,2,1334.34,JOD
609700937-2,Jordan,1,1,1,1,1330.99,usd
610638482-7,Egypt,2,2,2,0,1295.21,usd
607266809-7,egypt,1,1,2,2,814.83,Euro
268708162-0,jod,2,2,2,1,1159.64,USD
833486971-1,Egypt,0,0,0,1,958.08,USD
675871069-6,jod,1,1,0,1,601.09,Euro
